          RA           DEC             R062             Z087 
 00.49.06.77  +40.19.57.06       29.5379198       30.4309187 
 00.49.07.52  +40.19.45.29       27.3096242       28.2895785 
 00.49.07.13  +40.19.50.83       29.2247373       30.4655582 
 00.49.06.89  +40.19.54.34       28.7527916       29.8305709 
 00.49.07.28  +40.19.48.58       29.2869394       30.3212410 
 00.49.07.47  +40.19.45.70       29.3735155       30.6795531 
 00.49.07.91  +40.19.39.15       28.1354764       29.1589085 
 00.49.07.80  +40.19.40.58       29.3598655       30.4159059 
 00.49.08.78  +40.19.25.99       27.9430329       29.0968983 
 00.49.08.33  +40.19.32.47       28.6652351       29.6125811 
 00.49.08.92  +40.19.23.90       29.6418263       30.4152613 
 00.49.09.02  +40.19.22.36       29.5693677       30.9188831 
 00.49.09.08  +40.19.21.46       27.2237720       28.1602486 
 00.49.08.57  +40.19.28.83       28.8949786       30.2118856 
 00.49.09.50  +40.19.15.00       28.8257177       29.9252359 
 00.49.07.33  +40.19.46.57       29.0332742       30.2632257 
 00.49.06.44  +40.19.59.47       28.8742546       29.9629034 
 00.49.09.26  +40.19.18.29       28.5406046       29.3792562 
 00.49.08.20  +40.19.33.59       29.1976785       30.0145912 
 00.49.08.24  +40.19.33.14       29.3374220       30.5238958 
 00.49.07.58  +40.19.42.55       26.9042546       27.9929034 
 00.49.08.10  +40.19.34.94       28.8198655       29.8759059 
 00.49.07.86  +40.19.38.46       28.8130329       29.9668983 
 00.49.08.58  +40.19.27.84       29.1610872       30.1519110 
 00.49.09.44  +40.19.15.27       28.9364568       29.8185862 
 00.49.09.94  +40.19.07.96       28.4635307       29.3239212 
 00.49.07.49  +40.19.43.76       28.9610872       29.9519110 
 00.49.08.47  +40.19.29.16       28.9613285       30.0282384 
 00.49.08.16  +40.19.33.69       29.2664568       30.1485862 
 00.49.07.62  +40.19.41.48       29.0744960       30.2392308 
 00.49.09.08  +40.19.20.12       28.8076785       29.6245912 
 00.49.09.90  +40.19.08.07       29.0732742       30.3032257 
 00.49.06.90  +40.19.51.93       28.9337569       30.3158805 
 00.49.06.61  +40.19.56.06       28.2108459       29.1255836 
 00.49.08.20  +40.19.32.82       29.0374220       30.2238958 
 00.49.11.41  +40.18.45.78       29.0457328       29.6996040 
 00.49.06.76  +40.19.53.82       28.9101068       30.0422333 
 00.49.07.33  +40.19.45.36       28.9701068       30.1022333 
 00.49.07.72  +40.19.39.64       26.8896090       28.3152105 
 00.49.08.10  +40.19.34.11       28.8545111       29.5735989 
 00.49.09.92  +40.19.07.39       28.4989002       29.2505963 
