          RA           DEC             R062             Z087 
 00:53:17.44  +39:50:58.61       28.5988851       29.7962283 
 00:53:16.74  +39:50:56.24       28.8457177       29.9452359 
 00:53:19.42  +39:51:04.88       29.0047373       30.2455582 
 00:53:19.01  +39:51:03.47       28.9320525       30.2272206 
 00:53:20.24  +39:51:07.37       28.7840133       29.7965760 
 00:53:20.65  +39:51:08.52       28.7147524       29.5099263 
 00:53:19.14  +39:51:03.37       28.8542546       29.9429034 
 00:53:19.44  +39:51:04.35       30.2281763       30.7516141 
 00:53:19.18  +39:51:03.26       29.1122938       30.4835480 
 00:53:21.23  +39:51:10.04       28.4008308       29.7612156 
 00:53:16.58  +39:50:54.54       28.9566981       29.9149136 
 00:53:16.72  +39:50:54.96       28.8328067       29.4649390 
 00:53:17.02  +39:50:55.85       26.1145111       26.8335989 
 00:53:22.35  +39:51:13.45       28.5818112       29.8008932 
 00:53:19.50  +39:51:04.01       27.9903481       29.1985607 
 00:53:23.88  +39:51:18.44       28.8835155       30.1895531 
 00:53:18.14  +39:50:59.41       29.5010872       30.4919110 
 00:53:21.81  +39:51:11.53       27.7898503       29.2915379 
 00:53:19.20  +39:51:02.84       28.6420525       29.9372206 
 00:53:17.02  +39:50:55.53       28.7244960       29.8892308 
 00:53:21.11  +39:51:09.00       29.0105894       30.2948881 
 00:53:24.18  +39:51:19.12       28.6642395       30.1985353 
 00:53:20.11  +39:51:05.63       29.6293829       30.5332511 
 00:53:20.25  +39:51:05.80       28.7764568       29.6585862 
 00:53:22.96  +39:51:14.71       28.7440133       29.7565760 
 00:53:21.01  +39:51:08.23       29.9676937       30.3389593 
 00:53:24.57  +39:51:19.99       25.8603633       26.6229288 
 00:53:24.80  +39:51:20.61       28.5381611       29.5072461 
 00:53:16.90  +39:50:54.38       28.5135155       29.8195531 
 00:53:17.38  +39:50:55.94       28.3542546       29.4429034 
 00:53:18.03  +39:50:57.70       28.1359590       29.3115633 
 00:53:21.40  +39:51:08.63       27.5162155       28.3222588 
 00:53:27.46  +39:51:28.65       29.3986589       30.0742689 
 00:53:19.10  +39:51:00.84       29.2332742       30.4632257 
 00:53:20.73  +39:51:06.15       27.7874220       28.9738958 
 00:53:28.98  +39:51:33.30       28.1198655       29.1759059 
 00:53:21.70  +39:51:09.22       25.8720676       26.7215887 
 00:53:28.87  +39:51:32.87       27.8996242       28.8795785 
 00:53:20.82  +39:51:06.30       29.0023090       29.9279161 
 00:53:26.47  +39:51:24.92       26.1849786       27.5018856 
 00:53:16.48  +39:50:51.88       27.2393677       28.5888831 
 00:53:23.40  +39:51:14.78       29.4352351       30.3825811 
 00:53:26.35  +39:51:24.46       27.9357177       29.0352359 
 00:53:17.82  +39:50:56.26       28.6754764       29.6989085 
 00:53:29.48  +39:51:34.72       27.3920676       28.2415887 
 00:53:16.78  +39:50:52.70       28.7286438       29.8499009 
 00:53:30.19  +39:51:36.89       29.5149937       30.3862537 
 00:53:29.73  +39:51:35.39       28.4444960       29.6092308 
 00:53:17.96  +39:50:56.39       28.8584025       29.9035735 
 00:53:18.02  +39:50:56.56       29.4989457       28.9137005 
 00:53:30.67  +39:51:38.37       27.9957177       29.0952359 
 00:53:16.68  +39:50:52.07       29.2632894       30.0475938 
 00:53:31.53  +39:51:41.12       27.9276634       29.1902232 
 00:53:24.61  +39:51:18.23       29.3837872       29.8746167 
 00:53:26.10  +39:51:23.07       29.2303633       29.9929288 
 00:53:30.31  +39:51:36.98       29.4227916       30.5005709 
 00:53:26.71  +39:51:25.06       28.9213285       29.9882384 
 00:53:24.84  +39:51:18.63       29.2298807       29.8402740 
 00:53:31.54  +39:51:40.68       25.1891416       26.0169237 
 00:53:18.75  +39:50:58.41       27.0188851       28.2162283 
 00:53:28.37  +39:51:30.17       28.6515699       29.7945658 
 00:53:27.13  +39:51:26.05       28.9147373       30.1555582 
 00:53:28.94  +39:51:31.94       29.3264568       30.2085862 
 00:53:28.37  +39:51:30.01       28.9047524       29.6999263 
 00:53:18.16  +39:50:56.22       27.6708459       28.5855836 
 00:53:27.98  +39:51:28.64       29.4169394       30.4512410 
 00:53:32.39  +39:51:43.16       28.5735307       29.4339212 
 00:53:24.81  +39:51:18.12       28.6991264       29.9725557 
 00:53:32.11  +39:51:42.21       25.8120676       26.6615887 
 00:53:21.93  +39:51:08.46       28.9308459       29.8455836 
 00:53:27.75  +39:51:27.68       29.2418263       30.0152613 
