          RA           DEC             R062             Z087 
 00:53:56.66  +39:48:30.44       28.1196242       29.0995785 
 00:53:58.78  +39:48:38.32       28.1676785       28.9845912 
 00:53:57.80  +39:48:34.57       28.0293829       28.9332511 
 00:53:57.80  +39:48:34.07       29.5225806       29.6329797 
 00:54:00.43  +39:48:43.92       28.5915699       29.7345658 
 00:53:58.37  +39:48:36.05       29.1123090       30.0379161 
 00:54:00.98  +39:48:45.78       28.4213285       29.4882384 
 00:53:57.02  +39:48:30.66       29.0969243       30.5768729 
 00:54:00.76  +39:48:44.81       25.9806046       26.8192562 
 00:53:58.44  +39:48:35.86       28.5306046       29.3692562 
 00:54:01.26  +39:48:46.58       29.3654764       30.3889085 
 00:53:58.30  +39:48:35.21       28.0610872       29.0519110 
 00:54:00.68  +39:48:44.31       27.9140133       28.9265760 
 00:53:58.46  +39:48:35.83       28.8898655       29.9459059 
 00:53:59.49  +39:48:39.68       28.2779198       29.1709187 
 00:53:58.36  +39:48:35.22       27.9715699       29.1145658 
 00:53:59.52  +39:48:39.34       29.7437872       30.2346167 
 00:54:04.28  +39:48:57.43       25.6730481       26.3812664 
 00:54:00.80  +39:48:43.99       29.4630329       30.6168983 
 00:54:04.72  +39:48:58.91       29.2569546       29.8456090 
 00:54:03.57  +39:48:54.47       29.3815699       30.5245658 
 00:53:58.65  +39:48:35.67       29.5984328       29.7523096 
 00:54:03.65  +39:48:54.70       30.1079198       31.0009187 
 00:54:00.57  +39:48:42.78       27.9569394       28.9912410 
 00:54:02.22  +39:48:49.07       28.1708459       29.0855836 
 00:54:05.90  +39:49:03.06       28.0510872       29.0419110 
 00:54:03.30  +39:48:53.12       29.0835155       30.3895531 
 00:54:05.68  +39:49:02.16       29.2659742       29.9959314 
 00:54:03.21  +39:48:52.63       27.4871656       29.0432003 
 00:54:02.49  +39:48:49.84       26.1189002       26.8705963 
 00:53:56.67  +39:48:27.63       29.7001068       30.8322333 
 00:54:03.39  +39:48:53.19       28.7215699       29.8645658 
 00:54:01.55  +39:48:46.11       28.3923090       29.3179161 
 00:54:07.99  +39:49:10.53       26.7462155       27.5522588 
 00:53:59.17  +39:48:36.90       28.5127916       29.5905709 
 00:53:57.61  +39:48:30.70       29.0296242       30.0095785 
 00:54:01.41  +39:48:44.99       28.2466981       29.2049136 
 00:54:03.77  +39:48:53.97       28.7196242       29.6995785 
 00:54:08.13  +39:49:10.27       28.9654764       29.9889085 
 00:54:03.07  +39:48:50.88       23.4684934       21.8397819 
 00:54:05.67  +39:49:00.78       27.8232742       29.0532257 
 00:54:05.86  +39:49:01.52       29.4011024       29.9462791 
 00:54:06.64  +39:49:04.45       29.2140133       30.2265760 
 00:54:00.08  +39:48:39.47       29.3859742       30.1159314 
 00:54:08.33  +39:49:10.76       29.5642546       30.6529034 
 00:54:00.38  +39:48:40.39       28.8645111       29.5835989 
 00:54:11.13  +39:49:21.27       28.8640133       29.8765760 
 00:54:04.49  +39:48:55.95       28.5454764       29.5689085 
 00:54:04.88  +39:48:57.46       28.6454764       29.6689085 
 00:54:05.91  +39:49:01.37       28.5727916       29.6505709 
 00:54:06.90  +39:49:05.11       28.8454764       29.8689085 
 00:53:59.42  +39:48:36.56       29.4120525       30.7072206 
 00:54:10.79  +39:49:19.81       28.1330329       29.2868983 
 00:54:10.65  +39:49:19.25       28.5010872       29.4919110 
 00:54:07.18  +39:49:05.99       28.6271959       29.2919364 
 00:54:10.37  +39:49:18.08       28.5671807       29.6775684 
 00:54:03.62  +39:48:52.33       29.7637872       30.2546167 
 00:54:12.22  +39:49:25.04       28.9893829       29.8932511 
 00:54:03.23  +39:48:50.71       29.4893829       30.3932511 
 00:54:09.96  +39:49:16.30       28.7757177       29.8752359 
 00:54:00.39  +39:48:39.78       28.9103633       29.6729288 
 00:53:57.33  +39:48:28.05       29.2993677       30.6488831 
 00:54:07.43  +39:49:06.45       28.1957177       29.2952359 
 00:53:57.99  +39:48:30.52       28.1149937       28.9862537 
 00:54:10.00  +39:49:16.20       28.0732742       29.3032257 
 00:54:03.68  +39:48:51.98       29.3164568       30.1985862 
 00:54:12.87  +39:49:26.87       30.0452502       30.5469492 
 00:54:05.65  +39:48:59.30       28.6886438       29.8099009 
 00:54:04.39  +39:48:54.50       28.3166981       29.2749136 
 00:54:09.11  +39:49:12.44       28.5742546       29.6629034 
 00:54:11.24  +39:49:20.51       29.6789002       30.4305963 
 00:54:13.34  +39:49:28.50       25.3811024       25.9262791 
 00:54:06.82  +39:49:03.62       28.8608611       29.3299517 
 00:54:11.10  +39:49:19.89       29.6964568       30.5785862 
 00:53:57.32  +39:48:27.40       29.3008459       30.2155836 
 00:54:09.48  +39:49:13.66       28.6293829       29.5332511 
 00:54:11.31  +39:49:20.60       29.2386589       29.9142689 
 00:53:57.96  +39:48:29.63       29.3047676       29.6542943 
 00:54:08.67  +39:49:10.40       28.6044960       29.7692308 
 00:54:12.11  +39:49:23.48       28.9506046       29.7892562 
 00:54:02.11  +39:48:45.38       28.8669394       29.9012410 
 00:54:06.99  +39:49:03.90       29.3425503       30.3442435 
 00:54:05.20  +39:48:56.93       29.0803481       30.2885607 
 00:54:04.05  +39:48:52.53       27.7403481       28.9485607 
 00:54:06.38  +39:49:01.34       28.6644960       29.8292308 
 00:54:10.16  +39:49:15.74       29.7206198       30.1136243 
 00:53:59.49  +39:48:35.04       28.9162003       30.1678907 
 00:54:03.47  +39:48:49.99       28.8081611       29.7772461 
 00:53:59.73  +39:48:35.64       29.2193829       30.1232511 
 00:53:57.09  +39:48:25.55       29.0101220       29.6966014 
 00:53:59.18  +39:48:33.51       28.1698655       29.2259059 
 00:54:04.08  +39:48:52.09       29.5728067       30.2049390 
 00:53:58.78  +39:48:31.91       28.9964416       30.3242181 
 00:54:12.85  +39:49:25.41       28.6969394       29.7312410 
 00:54:05.60  +39:48:57.82       28.6581611       29.6272461 
 00:54:11.52  +39:49:20.26       28.8193829       29.7232511 
 00:54:05.28  +39:48:56.50       29.3262155       30.1322588 
 00:54:07.11  +39:49:03.35       29.3608611       29.8299517 
 00:54:07.18  +39:49:03.66       27.8471807       28.9575684 
