# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Fri Mar  8 04:16:14 CET 2019
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: CFHT/Megacam <i>u*g'r'i'z'</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label 	 mbolmag  u*mag   g'mag   r'mag   i'mag   z'mag
4.916e-05 9.929 0.1000000015 1.5704020262    0.100 -2.677  3.6069  5.495    0 11.463 14.445 12.720 11.687 11.214 11.000
4.916e-05 9.929 0.1199999973 1.7478251457    0.120 -2.340  3.6359  5.352    0 10.619 13.062 11.622 10.764 10.364 10.187
4.916e-05 9.929 0.1400000006 1.8958495855    0.140 -2.157  3.6468  5.280    0 10.162 12.431 11.083 10.279 9.904 9.741
4.916e-05 9.929 0.1599999964 2.0211524963    0.160 -2.016  3.6535  5.225    0 9.811 11.976 10.683 9.910 9.551 9.396
4.916e-05 9.929 0.2000000030 2.2217822075    0.200 -1.806  3.6622  5.146    0 9.286 11.321 10.098 9.365 9.025 8.880
4.916e-05 9.929 0.2500000000 2.4080901146    0.250 -1.619  3.6696  5.086    0 8.818 10.745 9.582 8.881 8.557 8.421
4.916e-05 9.929 0.3000000417 2.5475041866    0.300 -1.477  3.6754  5.046    0 8.463 10.310 9.191 8.514 8.203 8.074
4.916e-05 9.929 0.3499999940 2.6555202007    0.350 -1.362  3.6804  5.018    0 8.175 9.954 8.872 8.216 7.916 7.793
4.916e-05 9.929 0.4000000060 2.7413372993    0.400 -1.263  3.6849  4.995    0 7.927 9.648 8.599 7.962 7.671 7.554
4.916e-05 9.929 0.4098904431 2.7562675476    0.410 -1.240  3.6861  4.987    0 7.870 9.574 8.534 7.902 7.614 7.498
4.916e-05 9.929 0.4496867657 2.8105854988    0.449 -1.148  3.6909  4.954    0 7.639 9.281 8.276 7.664 7.386 7.276
4.916e-05 9.929 0.4499999881 2.8109800816    0.450 -1.147  3.6910  4.954    0 7.637 9.279 8.274 7.662 7.385 7.274
4.916e-05 9.929 0.4882604778 2.8558893204    0.488 -1.040  3.6986  4.913    0 7.371 8.919 7.966 7.386 7.125 7.023
4.916e-05 9.929 0.5000000000 2.8684780598    0.500 -1.009  3.7009  4.901    0 7.291 8.812 7.875 7.304 7.048 6.949
4.916e-05 9.929 0.5264693499 2.8950135708    0.526 -0.917  3.7084  4.862    0 7.063 8.497 7.609 7.068 6.828 6.737
4.916e-05 9.929 0.5500000119 2.9166350365    0.550 -0.836  3.7150  4.826    0 6.861 8.224 7.377 6.861 6.634 6.551
4.916e-05 9.929 0.5530020595 2.9192721844    0.553 -0.825  3.7161  4.822    0 6.833 8.185 7.344 6.832 6.608 6.526
4.916e-05 9.929 0.5741420984 2.9371278286    0.574 -0.748  3.7240  4.793    0 6.641 7.914 7.118 6.635 6.426 6.353
4.916e-05 9.929 0.5937225223 2.9526262283    0.593 -0.677  3.7312  4.765    0 6.463 7.670 6.912 6.455 6.260 6.194
4.916e-05 9.929 0.6000000238 2.9573988914    0.600 -0.655  3.7335  4.757    0 6.407 7.593 6.847 6.397 6.207 6.144
4.916e-05 9.929 0.6167190671 2.9696760178    0.617 -0.590  3.7409  4.734    0 6.245 7.369 6.658 6.234 6.058 6.003
4.916e-05 9.929 0.6368667483 2.9836835861    0.637 -0.512  3.7500  4.706    0 6.050 7.104 6.434 6.042 5.883 5.837
4.916e-05 9.929 0.6499999762 2.9923686981    0.650 -0.461  3.7559  4.687    0 5.922 6.934 6.289 5.918 5.770 5.730
4.916e-05 9.929 0.6526482105 2.9940788746    0.653 -0.450  3.7572  4.684    0 5.896 6.899 6.260 5.892 5.747 5.708
4.916e-05 9.929 0.6661793590 3.0026116371    0.666 -0.396  3.7635  4.664    0 5.761 6.723 6.108 5.762 5.628 5.595
4.916e-05 9.929 0.6843230724 3.0135388374    0.684 -0.324  3.7718  4.636    0 5.579 6.494 5.907 5.587 5.468 5.442
4.916e-05 9.929 0.6999999881 3.0225379467    0.700 -0.260  3.7788  4.611    0 5.420 6.301 5.734 5.435 5.327 5.308
4.916e-05 9.929 0.7009369731 3.0230636597    0.701 -0.256  3.7793  4.609    0 5.411 6.289 5.724 5.426 5.319 5.300
4.916e-05 9.929 0.7161355019 3.0314011574    0.716 -0.193  3.7858  4.581    0 5.253 6.101 5.552 5.276 5.180 5.167
4.916e-05 9.929 0.7303807139 3.0389103889    0.730 -0.133  3.7919  4.554    0 5.102 5.923 5.388 5.131 5.046 5.039
4.916e-05 9.929 0.7436229587 3.0456404686    0.744 -0.075  3.7974  4.526    0 4.958 5.758 5.232 4.993 4.917 4.916
4.916e-05 9.929 0.7500000000 3.0487992764    0.750 -0.047  3.8001  4.512    0 4.887 5.676 5.155 4.924 4.853 4.854
4.916e-05 9.929 0.7593519688 3.0533385277    0.759 -0.005  3.8041  4.491    0 4.781 5.558 5.041 4.823 4.759 4.764
4.916e-05 9.929 0.7716078758 3.0591259003    0.771  0.053  3.8094  4.462    0 4.638 5.397 4.886 4.683 4.629 4.639
4.916e-05 9.929 0.7827965617 3.0642557144    0.782  0.108  3.8142  4.432    0 4.500 5.245 4.737 4.549 4.503 4.517
4.916e-05 9.929 0.7930711508 3.0688426495    0.793  0.161  3.8187  4.403    0 4.367 5.100 4.592 4.417 4.379 4.398
